goos: darwin
goarch: arm64
pkg: luabench
cpu: Apple M1 Pro
BenchmarkStandard/list/luart-jit-10           	    4106	    286767 ns/op	    7534 B/op	      62 allocs/op
BenchmarkStandard/list/luart-jit-10           	    4132	    286084 ns/op	    7533 B/op	      62 allocs/op
BenchmarkStandard/list/luart-jit-10           	    4171	    286878 ns/op	    7532 B/op	      62 allocs/op
BenchmarkStandard/list/luart-jit-10           	    4165	    291830 ns/op	    7532 B/op	      62 allocs/op
BenchmarkStandard/list/shopify-10             	     776	   1545460 ns/op	   31629 B/op	     381 allocs/op
BenchmarkStandard/list/shopify-10             	     772	   1554027 ns/op	   31629 B/op	     381 allocs/op
BenchmarkStandard/list/shopify-10             	     787	   1523012 ns/op	   31629 B/op	     381 allocs/op
BenchmarkStandard/list/shopify-10             	     783	   1524404 ns/op	   31629 B/op	     381 allocs/op
BenchmarkStandard/list/shopify-10             	     789	   1523334 ns/op	   31629 B/op	     381 allocs/op
BenchmarkStandard/list/shopify-10             	     782	   1570731 ns/op	   31629 B/op	     381 allocs/op
BenchmarkStandard/mandelbrot/luart-10         	       3	 367293430 ns/op	    1317 B/op	       2 allocs/op
BenchmarkStandard/mandelbrot/luart-10         	       3	 370131833 ns/op	    1317 B/op	       2 allocs/op
BenchmarkStandard/mandelbrot/luart-10         	       3	 370072111 ns/op	    1317 B/op	       2 allocs/op
BenchmarkStandard/mandelbrot/luart-10         	       3	 374762208 ns/op	    1317 B/op	       2 allocs/op
BenchmarkStandard/mandelbrot/luart-10         	       3	 367452472 ns/op	    1317 B/op	       2 allocs/op
BenchmarkStandard/mandelbrot/luart-10         	       3	 368806681 ns/op	    1317 B/op	       2 allocs/op
BenchmarkStandard/mandelbrot/luart-jit-10     	       6	 183515111 ns/op	   15238 B/op	      11 allocs/op
BenchmarkStandard/mandelbrot/luart-jit-10     	       6	 181351465 ns/op	   15238 B/op	      11 allocs/op
BenchmarkStandard/mandelbrot/luart-jit-10     	       6	 181402243 ns/op	   15238 B/op	      11 allocs/op
BenchmarkStandard/mandelbrot/luart-jit-10     	       6	 182484868 ns/op	   15238 B/op	      11 allocs/op
BenchmarkStandard/mandelbrot/luart-jit-10     	       6	 183204028 ns/op	   15238 B/op	      11 allocs/op
BenchmarkStandard/mandelbrot/luart-jit-10     	       6	 180625840 ns/op	   15238 B/op	      11 allocs/op
BenchmarkStandard/mandelbrot/shopify-10       	       1	1175159709 ns/op	600632888 B/op	75078588 allocs/op
BenchmarkStandard/mandelbrot/shopify-10       	       1	1190440334 ns/op	600633080 B/op	75078592 allocs/op
BenchmarkStandard/mandelbrot/shopify-10       	       1	1208425708 ns/op	600632600 B/op	75078586 allocs/op
BenchmarkStandard/mandelbrot/shopify-10       	       1	1191243417 ns/op	600632648 B/op	75078588 allocs/op
BenchmarkStandard/mandelbrot/shopify-10       	       1	1189327834 ns/op	600633272 B/op	75078594 allocs/op
BenchmarkStandard/mandelbrot/shopify-10       	       1	1190350834 ns/op	600632120 B/op	75078582 allocs/op
BenchmarkStandard/nbody/luart-10              	     339	   3508726 ns/op	    2272 B/op	      15 allocs/op
BenchmarkStandard/nbody/luart-10              	     340	   3516665 ns/op	    2272 B/op	      15 allocs/op
BenchmarkStandard/nbody/luart-10              	     330	   3604387 ns/op	    2274 B/op	      15 allocs/op
BenchmarkStandard/nbody/luart-10              	     343	   3495195 ns/op	    2271 B/op	      15 allocs/op
BenchmarkStandard/nbody/luart-10              	     338	   3501392 ns/op	    2272 B/op	      15 allocs/op
BenchmarkStandard/nbody/luart-10              	     344	   3494478 ns/op	    2271 B/op	      15 allocs/op
BenchmarkStandard/nbody/luart-jit-10          	     786	   1519898 ns/op	    3041 B/op	      15 allocs/op
BenchmarkStandard/nbody/luart-jit-10          	     792	   1504315 ns/op	    3035 B/op	      15 allocs/op
BenchmarkStandard/nbody/luart-jit-10          	     781	   1502534 ns/op	    3047 B/op	      15 allocs/op
BenchmarkStandard/nbody/luart-jit-10          	     793	   1499975 ns/op	    3034 B/op	      15 allocs/op
BenchmarkStandard/nbody/luart-jit-10          	     786	   1513215 ns/op	    3041 B/op	      15 allocs/op
BenchmarkStandard/nbody/luart-jit-10          	     782	   1507051 ns/op	    3046 B/op	      15 allocs/op
BenchmarkStandard/nbody/shopify-10            	      75	  15345152 ns/op	 4353306 B/op	  468382 allocs/op
BenchmarkStandard/nbody/shopify-10            	      78	  15258075 ns/op	 4353306 B/op	  468382 allocs/op
BenchmarkStandard/nbody/shopify-10            	      76	  15415735 ns/op	 4353312 B/op	  468382 allocs/op
BenchmarkStandard/nbody/shopify-10            	      70	  15777075 ns/op	 4353324 B/op	  468382 allocs/op
BenchmarkStandard/nbody/shopify-10            	      78	  15594466 ns/op	 4353305 B/op	  468382 allocs/op
BenchmarkStandard/nbody/shopify-10            	      76	  15455489 ns/op	 4353315 B/op	  468382 allocs/op
BenchmarkStandard/permute/luart-10            	     804	   1491197 ns/op	     205 B/op	       2 allocs/op
BenchmarkStandard/permute/luart-10            	     805	   1500895 ns/op	     205 B/op	       2 allocs/op
BenchmarkStandard/permute/luart-10            	     786	   1502432 ns/op	     205 B/op	       2 allocs/op
