goos: linux
goarch: amd64
pkg: luabench
cpu: AMD Ryzen 9 9900X3D 12-Core Processor          
BenchmarkStandard/list/shopify-6            	    1117	   1073734 ns/op	   31628 B/op	     381 allocs/op
BenchmarkStandard/list/shopify-6            	    1058	   1084019 ns/op	   31628 B/op	     381 allocs/op
BenchmarkStandard/list/shopify-6            	    1128	   1061636 ns/op	   31627 B/op	     381 allocs/op
BenchmarkStandard/list/shopify-6            	    1131	   1064718 ns/op	   31628 B/op	     381 allocs/op
BenchmarkStandard/mandelbrot/apogee-6       	       5	 241114119 ns/op	     784 B/op	       1 allocs/op
BenchmarkStandard/mandelbrot/apogee-6       	       5	 240854552 ns/op	     784 B/op	       1 allocs/op
BenchmarkStandard/mandelbrot/apogee-6       	       5	 240668180 ns/op	     784 B/op	       1 allocs/op
BenchmarkStandard/mandelbrot/apogee-6       	       5	 241109959 ns/op	     784 B/op	       1 allocs/op
BenchmarkStandard/mandelbrot/apogee-6       	       5	 241205931 ns/op	     784 B/op	       1 allocs/op
BenchmarkStandard/mandelbrot/apogee-6       	       5	 240927772 ns/op	     784 B/op	       1 allocs/op
BenchmarkStandard/mandelbrot/apogee-jit-6   	       9	 112139737 ns/op	    9068 B/op	       7 allocs/op
BenchmarkStandard/mandelbrot/apogee-jit-6   	       9	 112105729 ns/op	    9068 B/op	       7 allocs/op
BenchmarkStandard/mandelbrot/apogee-jit-6   	       9	 112195924 ns/op	    9068 B/op	       7 allocs/op
BenchmarkStandard/mandelbrot/apogee-jit-6   	       9	 112201936 ns/op	    9068 B/op	       7 allocs/op
BenchmarkStandard/mandelbrot/apogee-jit-6   	       9	 112124553 ns/op	    9068 B/op	       7 allocs/op
BenchmarkStandard/mandelbrot/apogee-jit-6   	       9	 112126951 ns/op	    9068 B/op	       7 allocs/op
BenchmarkStandard/mandelbrot/shopify-6      	       2	 674430080 ns/op	600634624 B/op	75078604 allocs/op
BenchmarkStandard/mandelbrot/shopify-6      	       2	 672848689 ns/op	600635116 B/op	75078608 allocs/op
BenchmarkStandard/mandelbrot/shopify-6      	       2	 671123154 ns/op	600636164 B/op	75078617 allocs/op
BenchmarkStandard/mandelbrot/shopify-6      	       2	 674294006 ns/op	600635240 B/op	75078610 allocs/op
BenchmarkStandard/mandelbrot/shopify-6      	       2	 671637900 ns/op	600634840 B/op	75078606 allocs/op
BenchmarkStandard/mandelbrot/shopify-6      	       2	 672092852 ns/op	600636408 B/op	75078620 allocs/op
BenchmarkStandard/nbody/apogee-6            	     537	   2228752 ns/op	    2242 B/op	      15 allocs/op
BenchmarkStandard/nbody/apogee-6            	     538	   2227423 ns/op	    2242 B/op	      15 allocs/op
BenchmarkStandard/nbody/apogee-6            	     537	   2225138 ns/op	    2242 B/op	      15 allocs/op
BenchmarkStandard/nbody/apogee-6            	     538	   2223922 ns/op	    2242 B/op	      15 allocs/op
BenchmarkStandard/nbody/apogee-6            	     537	   2224951 ns/op	    2242 B/op	      15 allocs/op
BenchmarkStandard/nbody/apogee-6            	     538	   2224894 ns/op	    2242 B/op	      15 allocs/op
BenchmarkStandard/nbody/apogee-jit-6        	    1551	    752046 ns/op	    2891 B/op	      15 allocs/op
BenchmarkStandard/nbody/apogee-jit-6        	    1555	    752781 ns/op	    2889 B/op	      15 allocs/op
BenchmarkStandard/nbody/apogee-jit-6        	    1542	    754798 ns/op	    2895 B/op	      15 allocs/op
BenchmarkStandard/nbody/apogee-jit-6        	    1554	    751232 ns/op	    2890 B/op	      15 allocs/op
BenchmarkStandard/nbody/apogee-jit-6        	    1528	    759508 ns/op	    2902 B/op	      15 allocs/op
BenchmarkStandard/nbody/apogee-jit-6        	    1544	    754620 ns/op	    2894 B/op	      15 allocs/op
BenchmarkStandard/nbody/shopify-6           	     100	  11770716 ns/op	 4353317 B/op	  468382 allocs/op
BenchmarkStandard/nbody/shopify-6           	     100	  11622241 ns/op	 4353328 B/op	  468382 allocs/op
BenchmarkStandard/nbody/shopify-6           	     100	  11846191 ns/op	 4353325 B/op	  468382 allocs/op
BenchmarkStandard/nbody/shopify-6           	     100	  11942624 ns/op	 4353320 B/op	  468382 allocs/op
BenchmarkStandard/nbody/shopify-6           	     100	  11965389 ns/op	 4353300 B/op	  468382 allocs/op
BenchmarkStandard/nbody/shopify-6           	     100	  11816185 ns/op	 4353320 B/op	  468382 allocs/op
BenchmarkStandard/permute/apogee-6          	    1194	   1005055 ns/op	     201 B/op	       2 allocs/op
BenchmarkStandard/permute/apogee-6          	    1198	   1002355 ns/op	     201 B/op	       2 allocs/op
BenchmarkStandard/permute/apogee-6          	    1196	   1001973 ns/op	     201 B/op	       2 allocs/op
BenchmarkStandard/permute/apogee-6          	    1202	    998540 ns/op	     201 B/op	       2 allocs/op
BenchmarkStandard/permute/apogee-6          	    1194	   1003597 ns/op	     201 B/op	       2 allocs/op
BenchmarkStandard/permute/apogee-6          	    1195	   1004912 ns/op	     201 B/op	       2 allocs/op
BenchmarkStandard/permute/apogee-jit-6      	    4846	    239999 ns/op	     250 B/op	       2 allocs/op
BenchmarkStandard/permute/apogee-jit-6      	    4969	    239881 ns/op	     249 B/op	       2 allocs/op
BenchmarkStandard/permute/apogee-jit-6      	    4879	    243464 ns/op	     250 B/op	       2 allocs/op
BenchmarkStandard/permute/apogee-jit-6      	    4992	    239840 ns/op	     249 B/op	       2 allocs/op
BenchmarkStandard/permute/apogee-jit-6      	    4920	    238657 ns/op	     249 B/op	       2 allocs/op
BenchmarkStandard/permute/apogee-jit-6      	    4921	    240586 ns/op	     249 B/op	       2 allocs/op
BenchmarkStandard/permute/shopify-6         	     496	   2433652 ns/op	  384667 B/op	   39371 allocs/op
BenchmarkStandard/permute/shopify-6         	     492	   2433720 ns/op	  384667 B/op	   39371 allocs/op
BenchmarkStandard/permute/shopify-6         	     493	   2440126 ns/op	  384667 B/op	   39371 allocs/op
BenchmarkStandard/permute/shopify-6         	     494	   2431634 ns/op	  384667 B/op	   39371 allocs/op
BenchmarkStandard/permute/shopify-6         	     489	   2438517 ns/op	  384669 B/op	   39371 allocs/op
BenchmarkStandard/permute/shopify-6         	     489	   2424214 ns/op	  384667 B/op	   39371 allocs/op
BenchmarkStandard/queens/apogee-6           	    1807	    660952 ns/op	   11536 B/op	      80 allocs/op
BenchmarkStandard/queens/apogee-6           	    1812	    660746 ns/op	   11536 B/op	      80 allocs/op
BenchmarkStandard/queens/apogee-6           	    1820	    658293 ns/op	   11536 B/op	      80 allocs/op
BenchmarkStandard/queens/apogee-6           	    1815	    661594 ns/op	   11536 B/op	      80 allocs/op
BenchmarkStandard/queens/apogee-6           	    1810	    661471 ns/op	   11536 B/op	      80 allocs/op
BenchmarkStandard/queens/apogee-6           	    1747	    662223 ns/op	   11537 B/op	      80 allocs/op
BenchmarkStandard/queens/apogee-jit-6       	    6793	    172607 ns/op	   11587 B/op	      80 allocs/op
BenchmarkStandard/queens/apogee-jit-6       	    6890	    170293 ns/op	   11586 B/op	      80 allocs/op
BenchmarkStandard/queens/apogee-jit-6       	    6980	    169290 ns/op	   11586 B/op	      80 allocs/op
BenchmarkStandard/queens/apogee-jit-6       	    6830	    171418 ns/op	   11587 B/op	      80 allocs/op
BenchmarkStandard/queens/apogee-jit-6       	    6964	    169305 ns/op	   11586 B/op	      80 allocs/op
BenchmarkStandard/queens/apogee-jit-6       	    6907	    169055 ns/op	   11586 B/op	      80 allocs/op
BenchmarkStandard/queens/shopify-6          	     878	   1361385 ns/op	  294840 B/op	   35310 allocs/op
BenchmarkStandard/queens/shopify-6          	     868	   1363870 ns/op	  294840 B/op	   35310 allocs/op
BenchmarkStandard/queens/shopify-6          	     878	   1364567 ns/op	  294841 B/op	   35310 allocs/op
BenchmarkStandard/queens/shopify-6          	     874	   1357771 ns/op	  294841 B/op	   35310 allocs/op
BenchmarkStandard/queens/shopify-6          	     882	   1362750 ns/op	  294841 B/op	   35310 allocs/op
BenchmarkStandard/queens/shopify-6          	     864	   1367044 ns/op	  294839 B/op	   35310 allocs/op
BenchmarkStandard/richards/apogee-6         	      43	  27581966 ns/op	   12058 B/op	     100 allocs/op
BenchmarkStandard/richards/apogee-6         	      43	  27625290 ns/op	   12058 B/op	     100 allocs/op
BenchmarkStandard/richards/apogee-6         	      43	  27594136 ns/op	   12058 B/op	     100 allocs/op
BenchmarkStandard/richards/apogee-6         	      43	  27609609 ns/op	   12058 B/op	     100 allocs/op
BenchmarkStandard/richards/apogee-6         	      43	  27543031 ns/op	   12058 B/op	     100 allocs/op
BenchmarkStandard/richards/apogee-6         	      43	  27661811 ns/op	   12058 B/op	     100 allocs/op
BenchmarkStandard/richards/apogee-jit-6     	      84	  13958084 ns/op	   25596 B/op	     108 allocs/op
BenchmarkStandard/richards/apogee-jit-6     	      81	  14436156 ns/op	   26158 B/op	     109 allocs/op
BenchmarkStandard/richards/apogee-jit-6     	      82	  14284118 ns/op	   25966 B/op	     108 allocs/op
BenchmarkStandard/richards/apogee-jit-6     	      80	  14622092 ns/op	   26354 B/op	     109 allocs/op
BenchmarkStandard/richards/apogee-jit-6     	      84	  14134550 ns/op	   25596 B/op	     108 allocs/op
BenchmarkStandard/richards/apogee-jit-6     	      84	  14035644 ns/op	   25596 B/op	     108 allocs/op
BenchmarkStandard/richards/shopify-6        	      10	 105739933 ns/op	11422585 B/op	  646606 allocs/op
BenchmarkStandard/richards/shopify-6        	      10	 104667100 ns/op	11422558 B/op	  646606 allocs/op
BenchmarkStandard/richards/shopify-6        	      10	 105464668 ns/op	11422556 B/op	  646606 allocs/op
BenchmarkStandard/richards/shopify-6        	      10	 105805030 ns/op	11422515 B/op	  646605 allocs/op
BenchmarkStandard/richards/shopify-6        	      10	 104284805 ns/op	11422494 B/op	  646605 allocs/op
BenchmarkStandard/richards/shopify-6        	      10	 103756728 ns/op	11422555 B/op	  646606 allocs/op
BenchmarkStandard/sieve/apogee-6            	    3747	    318622 ns/op	  319211 B/op	      15 allocs/op
BenchmarkStandard/sieve/apogee-6            	    3777	    322769 ns/op	  319212 B/op	      15 allocs/op
BenchmarkStandard/sieve/apogee-6            	    3698	    320300 ns/op	  319211 B/op	      15 allocs/op
BenchmarkStandard/sieve/apogee-6            	    3805	    320961 ns/op	  319212 B/op	      15 allocs/op
BenchmarkStandard/sieve/apogee-6            	    3726	    319160 ns/op	  319211 B/op	      15 allocs/op
BenchmarkStandard/sieve/apogee-6            	    3684	    320858 ns/op	  319211 B/op	      15 allocs/op
BenchmarkStandard/sieve/apogee-jit-6        	   15804	     75820 ns/op	  319220 B/op	      15 allocs/op
BenchmarkStandard/sieve/apogee-jit-6        	   15877	     75447 ns/op	  319219 B/op	      15 allocs/op
BenchmarkStandard/sieve/apogee-jit-6        	   15810	     75999 ns/op	  319219 B/op	      15 allocs/op
BenchmarkStandard/sieve/apogee-jit-6        	   15834	     75742 ns/op	  319219 B/op	      15 allocs/op
BenchmarkStandard/sieve/apogee-jit-6        	   15979	     75234 ns/op	  319220 B/op	      15 allocs/op
BenchmarkStandard/sieve/apogee-jit-6        	   15841	     75648 ns/op	  319220 B/op	      15 allocs/op
BenchmarkStandard/sieve/shopify-6           	    1974	    603748 ns/op	  707306 B/op	   48502 allocs/op
BenchmarkStandard/sieve/shopify-6           	    1947	    609243 ns/op	  707309 B/op	   48502 allocs/op
BenchmarkStandard/sieve/shopify-6           	    1984	    602951 ns/op	  707307 B/op	   48502 allocs/op
BenchmarkStandard/sieve/shopify-6           	    1970	    605536 ns/op	  707306 B/op	   48502 allocs/op
BenchmarkStandard/sieve/shopify-6           	    1995	    609917 ns/op	  707307 B/op	   48502 allocs/op
BenchmarkStandard/sieve/shopify-6           	    1983	    603428 ns/op	  707308 B/op	   48502 allocs/op
BenchmarkStandard/storage/apogee-6          	    1340	    885295 ns/op	  766611 B/op	    9559 allocs/op
BenchmarkStandard/storage/apogee-6          	    1354	    884678 ns/op	  766442 B/op	    9559 allocs/op
BenchmarkStandard/storage/apogee-6          	    1358	    886640 ns/op	  766436 B/op	    9559 allocs/op
BenchmarkStandard/storage/apogee-6          	    1346	    884634 ns/op	  766452 B/op	    9559 allocs/op
BenchmarkStandard/storage/apogee-6          	    1356	    885604 ns/op	  766453 B/op	    9559 allocs/op
BenchmarkStandard/storage/apogee-6          	    1347	    880747 ns/op	  766629 B/op	    9559 allocs/op
BenchmarkStandard/storage/apogee-jit-6      	    2077	    563401 ns/op	  766542 B/op	    9559 allocs/op
BenchmarkStandard/storage/apogee-jit-6      	    2103	    565864 ns/op	  766414 B/op	    9559 allocs/op
BenchmarkStandard/storage/apogee-jit-6      	    2104	    565103 ns/op	  766467 B/op	    9559 allocs/op
BenchmarkStandard/storage/apogee-jit-6      	    2084	    565435 ns/op	  766448 B/op	    9559 allocs/op
BenchmarkStandard/storage/apogee-jit-6      	    2084	    565542 ns/op	  766554 B/op	    9559 allocs/op
BenchmarkStandard/storage/apogee-jit-6      	    2088	    564662 ns/op	  766497 B/op	    9559 allocs/op
BenchmarkStandard/storage/shopify-6         	     385	   3100756 ns/op	 3023529 B/op	   80176 allocs/op
BenchmarkStandard/storage/shopify-6         	     390	   3101454 ns/op	 3023529 B/op	   80176 allocs/op
BenchmarkStandard/storage/shopify-6         	     388	   3095715 ns/op	 3023539 B/op	   80176 allocs/op
